OBS;WAGE;HOURS;IQ;KWW;EDUC;MEDUC;FEDUC;EXPER;TENURE;AGE;MARRIED;BLACK;SOUTH;URBAN;SIBS;BRTHORD
1;769;40;93;35;12;8;8;11;2;31;1;0;0;1;1;2
2;808;50;119;41;18;14;14;11;16;37;1;0;0;1;1;NA
3;825;40;108;46;14;14;14;11;9;33;1;0;0;1;1;2
4;650;40;96;32;12;12;12;13;7;32;1;0;0;1;4;3
5;562;40;74;27;11;6;11;14;5;34;1;0;0;1;10;6
6;1400;40;116;43;16;8;NA;14;2;35;1;1;0;1;1;2
7;600;40;91;24;10;8;8;13;0;30;0;0;0;1;1;2
8;1081;40;114;50;18;8;NA;8;14;38;1;0;0;1;2;3
9;1154;45;111;37;15;14;5;13;1;36;1;0;0;0;2;3
10;1000;40;95;44;12;12;11;16;16;36;1;0;0;1;1;1
11;930;43;132;44;18;13;14;8;13;38;1;0;0;0;1;1
12;921;38;102;45;14;16;NA;9;11;33;1;0;0;0;1;2
13;900;45;125;40;15;12;12;4;3;30;0;0;0;0;2;NA
14;1318;38;119;24;16;10;10;7;2;28;1;0;0;1;3;1
15;1792;40;118;47;16;12;12;9;9;34;1;0;0;1;1;1
16;958;50;105;37;10;6;8;17;2;35;1;0;0;1;1;2
17;1360;45;109;39;15;12;10;6;9;36;1;0;0;1;3;3
18;850;40;72;36;11;10;8;19;10;38;1;0;0;1;2;3
19;830;44;105;29;14;12;NA;4;7;29;1;0;0;1;3;1
20;471;44;101;34;12;8;NA;13;7;31;1;0;0;1;3;2
21;1275;40;123;37;14;12;NA;9;1;31;1;0;0;1;0;1
22;1615;50;113;49;16;12;12;10;4;36;1;0;0;1;2;1
23;873;65;95;36;12;10;10;14;3;38;1;0;0;1;5;1
24;2137;45;145;50;16;12;12;17;8;38;1;0;0;1;2;1
25;1053;38;114;35;16;11;11;12;7;32;1;0;0;1;0;1
26;1602;60;124;32;16;16;16;8;9;29;1;0;0;1;3;1
27;1188;40;93;40;13;12;8;16;5;35;1;0;0;1;2;1
28;800;40;115;39;18;8;8;11;1;35;1;0;1;1;0;1
29;1417;48;125;41;17;13;12;9;4;34;1;0;0;1;3;1
30;635;40;128;35;18;16;16;8;13;36;0;0;0;1;2;1
31;1000;40;103;40;12;8;NA;17;2;34;1;0;0;1;1;1
32;1424;50;98;41;14;12;12;15;4;35;1;0;0;1;1;1
33;2668;75;108;41;13;12;12;12;2;32;1;0;1;1;1;2
34;666;75;129;40;18;18;18;8;12;38;1;0;0;0;2;1
35;1779;40;132;42;17;17;14;8;9;32;1;0;0;1;1;1
36;782;40;92;24;13;8;NA;9;10;31;1;0;0;1;3;3
37;1572;35;108;39;14;12;8;7;5;28;1;1;0;1;1;NA
38;1274;40;106;35;13;15;12;11;12;31;1;0;0;1;0;1
39;714;35;105;37;16;13;12;9;2;29;1;0;0;1;1;2
40;1081;40;123;46;18;12;12;11;7;36;1;0;0;0;1;1
41;692;40;108;48;12;8;7;21;11;38;1;0;0;1;3;1
42;1318;38;122;47;17;12;8;10;9;33;1;0;0;1;1;NA
43;1239;45;109;44;12;12;NA;16;4;38;1;0;0;1;3;3
44;1027;27;100;40;13;10;9;12;15;38;1;0;0;1;3;3
45;1748;55;125;50;18;14;15;12;12;34;1;0;0;1;1;2
46;981;40;122;41;14;12;NA;9;15;35;0;0;0;1;3;2
47;770;40;105;34;17;12;12;7;11;30;1;0;0;1;3;1
48;1154;50;94;37;16;12;12;11;5;33;1;0;0;1;1;NA
49;1155;40;102;36;12;12;NA;16;5;34;1;0;0;1;1;2
50;808;60;109;47;13;12;10;14;12;38;1;0;0;1;2;2
51;1100;40;105;45;12;12;12;22;14;38;1;0;0;1;1;1
52;1154;40;134;46;18;12;12;10;10;37;1;0;1;1;2;1
53;1749;40;108;32;12;12;9;13;9;29;0;0;0;1;7;1
54;1000;50;104;36;16;12;11;11;8;30;1;0;0;1;1;1
55;462;40;112;35;12;12;NA;11;1;29;1;0;0;1;8;3
56;769;55;120;49;18;11;8;8;12;32;0;0;0;1;1;1
57;875;50;124;40;16;17;16;9;3;31;0;0;0;0;2;2
58;1375;40;103;34;12;12;10;12;7;29;1;0;0;1;4;2
59;1452;45;115;45;17;12;14;1;7;30;1;0;0;1;3;1
60;800;40;96;33;12;6;8;17;12;35;1;0;0;1;1;2
61;1748;55;123;48;17;12;12;10;7;36;1;0;0;1;1;1
62;1151;40;98;34;12;12;8;12;12;29;1;0;0;1;3;4
63;840;50;96;34;12;12;8;18;13;35;1;0;0;1;2;1
64;978;45;89;47;12;12;NA;17;2;38;1;0;0;1;0;1
65;963;40;109;43;12;NA;7;15;15;37;0;0;0;0;5;NA
66;619;42;93;20;12;9;11;10;10;28;0;0;0;1;8;NA
67;442;60;82;32;12;12;9;12;0;33;1;0;0;1;2;3
